,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,0.0,39439.1,39604.2,31630.7,27189.1,7579.5,13019.2,9336.5,25325.9,26440.6,27687.9,38221.7,27694.0,14574.8,27057.2,18903.3,41204.1,43376.5,39626.7,18434.2,27661.0,13393.4,31675.0,28667.1,27778.6,42117.3,4997.9,28951.1,4791.1,29122.8,13393.4,9619.4,20821.7,15012.9,39658.5,31606.3,21267.5,23611.3,52859.4,10779.8,35896.8,26958.9,3424.7,38998.1,11987.6,18245.9,52487.2,14912.4,43754.5,19169.4,14884.9,5318.8,50618.8,5076.1,19983.6,19150.2,29695.0,35545.6,40024.1,3892.8,22725.6,26510.0,36212.4,39378.8,5224.6,277.1,17708.0,12831.3,24715.1,29019.1,8665.1,7836.1,17880.6,19258.9,27821.2,21507.2,19690.1,15012.9,15651.0,26348.5,34945.6,27767.7,35874.5,24222.1,24383.0,2005.6
1,39492.8,0.0,80108.9,65745.5,62410.8,40004.1,53813.8,47617.8,25205.0,60821.0,44318.7,71417.1,45439.9,27564.3,60497.7,31439.2,60126.6,83881.3,1300.1,30970.2,29418.2,45025.4,18132.1,46846.6,44690.9,68685.3,36261.9,10450.5,45585.7,12743.5,45025.4,32974.1,61616.2,55517.6,1331.9,72111.0,62062.0,25522.0,93364.1,31569.7,76401.5,62180.6,37746.2,79502.9,49583.5,47725.5,92991.9,46544.5,70505.6,24706.6,60468.6,37400.2,68364.8,38286.3,23606.4,31016.2,70199.8,72151.4,87113.1,38934.3,16676.0,60890.5,70798.3,1052.2,37980.5,39363.8,58212.7,53625.9,65509.7,20905.4,48054.9,40260.6,41632.4,41451.5,44039.1,20010.6,60484.7,55517.6,48075.5,28105.8,69531.4,62353.5,66469.5,68386.8,26293.7,39465.5
2,37993.5,78538.1,0.0,26647.9,20739.4,44537.4,26870.9,30209.0,62283.7,21313.6,38366.0,24038.7,38372.1,53673.8,22074.4,57636.1,33529.1,11010.7,78725.7,57929.7,65313.1,32557.9,70774.0,35152.4,38456.6,35528.9,43123.8,68050.1,34995.9,68221.8,32557.9,46577.3,22654.3,28441.9,78757.5,6342.8,18421.8,64904.5,21765.5,49878.8,11527.0,20781.2,40382.6,11736.3,31090.8,47267.9,21752.9,33505.1,32005.1,58268.4,34109.8,42276.6,42084.5,41364.2,59082.6,56351.3,8990.7,16957.5,13962.6,40850.6,61824.6,21383.0,17496.5,78477.8,42182.4,37864.5,22638.7,27175.9,16227.1,65976.9,29537.6,44793.9,49532.8,47679.6,38499.3,60606.2,20649.9,28441.9,47374.7,63577.2,20847.0,28585.7,33168.4,17637.0,63482.0,37791.3
3,31200.3,65533.9,25606.3,0.0,7069.4,29865.0,20313.4,27034.6,43229.0,5479.6,22038.2,13699.7,22044.3,44739.4,5746.6,34526.7,6881.2,36142.9,65721.5,34820.3,57825.6,29383.6,61839.6,18824.6,22128.9,15439.9,36626.3,55045.9,28136.7,59287.4,29383.6,39784.0,10806.2,27563.9,66700.9,26670.4,13038.5,53775.9,20347.6,40944.4,31854.6,6839.2,33589.3,34955.9,29685.8,38110.5,28532.3,30330.7,17260.2,49333.9,32583.0,35483.3,15436.6,34866.7,50148.2,49853.8,29583.4,37550.3,37752.5,34057.4,48820.5,5549.0,38089.2,65473.6,35389.2,31071.3,29143.6,20199.8,14769.3,51330.4,26363.2,29422.4,43865.1,54620.9,22171.5,51671.8,17482.2,27563.9,28349.8,54782.7,41439.7,42698.0,50804.8,15146.1,54547.6,29099.7
4,26753.2,65156.6,19721.9,7049.5,0.0,25418.0,15866.4,22587.6,39958.4,1715.2,18767.6,12217.5,18773.7,40292.3,2476.0,31256.1,13930.6,30258.5,65344.2,31549.6,53378.5,24936.5,57392.5,15554.0,18858.2,16113.1,32179.3,54668.6,23689.6,54840.3,24936.5,35337.0,6359.2,23116.9,65376.0,20786.0,8591.4,49328.9,18865.5,36497.4,25970.1,1445.4,29142.3,29071.5,25238.7,33663.4,27050.1,25883.7,17750.3,44886.9,28136.0,31036.3,22486.1,30419.7,45701.2,45406.7,23698.9,31665.8,31868.0,29610.3,48443.1,1784.6,32204.7,65096.3,30942.1,26624.2,24696.5,15752.8,7947.1,48059.8,21916.2,24975.4,39418.1,50173.8,18900.9,47224.8,13035.2,23116.9,25079.1,50335.6,35555.3,38250.9,46357.8,10699.1,50100.6,24652.7
5,7560.9,39340.2,46283.0,31239.7,26798.1,0.0,19698.0,16015.3,24220.7,26049.6,15816.4,37830.7,15822.5,15624.0,30446.8,12786.5,29332.7,50055.3,39527.8,13080.1,28710.2,15580.3,32724.2,16795.7,15907.1,37891.4,7350.6,28852.2,11469.9,30172.0,15580.3,8514.3,22793.4,21691.7,39559.6,38285.1,21330.1,24660.6,44478.6,11829.1,42575.6,26567.9,4765.3,45676.9,18666.4,20598.6,52663.3,17099.3,39711.7,20218.6,20923.0,3221.5,38747.4,7428.8,21032.9,21502.9,36373.8,42224.4,46702.9,4755.6,22626.7,26119.0,42891.2,39279.9,2987.6,7431.9,24386.8,19510.1,27370.7,27913.9,15343.9,1830.1,20233.2,21611.6,15949.8,22556.5,26368.9,21691.7,9645.0,27397.8,41624.4,34446.5,42553.3,27747.5,25432.3,7533.6
6,13528.9,51932.3,28153.2,20198.4,15756.8,20072.7,0.0,7526.6,37819.1,15008.3,21330.4,26789.4,21336.6,27068.0,15624.9,29992.0,27079.6,31925.6,52119.9,30285.5,52746.3,9875.5,44168.2,20024.9,21421.1,30685.1,18954.9,41444.3,8639.1,41616.0,9875.5,22112.6,9389.4,8055.8,52151.7,20155.3,9835.2,36104.5,33437.4,23273.0,24445.8,15526.7,15917.9,27547.2,10177.7,18602.4,41622.0,10822.6,32322.2,31662.6,13075.0,17812.0,35635.0,17195.3,32476.8,28459.4,18244.1,24094.6,28573.2,16386.0,35218.8,15077.8,24633.6,51872.0,17717.8,13399.9,8867.5,430.6,13282.9,41512.3,6855.2,20329.3,24357.1,35112.8,21463.8,34000.4,7143.6,8055.8,26794.2,51010.4,27984.1,23189.9,31296.7,11133.3,36876.2,13326.6
7,9618.3,47415.9,32065.3,27024.4,22582.8,16162.2,7298.7,0.0,33908.5,21834.3,30613.0,33615.4,30619.1,22551.5,22450.9,27485.9,33905.6,35837.6,47603.4,27016.9,33473.7,2583.3,39651.8,31592.3,30703.7,37511.1,12001.6,36927.8,4728.5,37099.5,2583.3,18202.1,16215.4,4940.8,47635.2,24067.4,16661.2,31588.1,45320.5,18756.6,28357.9,22352.6,12007.4,31459.2,2740.5,11310.1,44948.2,3530.4,39148.2,27146.1,5637.8,13901.4,42461.0,10142.1,27960.4,21167.1,22156.1,28006.7,32485.2,12475.4,30702.4,21903.7,28545.6,47355.5,13807.2,9489.3,10200.0,7110.8,20108.9,37601.7,671.4,16418.8,17064.8,22972.6,30746.4,29484.0,13969.6,4940.8,26243.3,31737.8,29716.6,22538.7,30645.5,17959.3,32359.8,9416.1
8,25488.1,25240.4,64210.1,43444.3,40109.6,20103.4,37625.2,33942.5,0.0,38519.8,22017.4,49115.8,23138.7,25016.3,38196.5,9836.0,37825.3,67982.5,25428.0,10129.6,38496.4,35414.5,33615.3,24545.3,22389.6,46384.0,26651.0,14752.4,29397.1,27213.5,35414.5,15710.0,37384.1,39618.9,25404.0,56212.3,40230.6,34446.7,59539.2,26725.9,60502.8,39879.4,22692.5,63604.1,39972.6,38525.8,65974.8,36933.5,48204.4,29109.0,40757.3,22346.4,46063.5,25356.0,30061.1,33244.9,54301.0,60151.6,64630.1,23880.6,14197.1,38589.2,60818.4,25180.1,22926.8,25359.1,42313.9,37437.3,41961.4,7847.3,33271.1,20374.4,38160.4,39538.7,21737.9,32342.6,44296.0,39618.9,25954.7,37183.9,59551.6,52373.6,60480.4,42338.3,35218.4,25460.8
9,25728.6,64132.1,20126.7,5796.8,1589.8,24393.4,14841.8,21563.0,38499.7,0.0,17308.9,12622.3,17315.0,39267.7,1223.3,29797.4,12678.0,30663.3,64319.6,30091.0,52354.0,23911.9,56368.0,14095.3,17399.5,16518.0,31154.7,53644.0,22665.0,53815.7,23911.9,34312.4,5334.6,22092.3,64351.4,21190.8,7566.9,48304.3,19270.3,35472.8,26375.0,1359.6,28117.7,29476.3,24214.1,32638.8,27455.0,24859.1,18155.1,43862.3,27111.4,30011.7,21233.4,29395.1,44676.6,44382.2,24103.8,32070.7,32272.9,28585.7,47418.6,418.3,32609.6,64071.8,29917.5,25599.6,23672.0,14728.2,9297.7,46601.1,20891.6,23950.8,38393.5,49149.3,17442.2,46200.2,12010.6,22092.3,23620.4,49311.0,35960.1,37226.4,45333.2,9674.5,49076.0,23628.1
